County,State,County FIPS,Annual Average (kWh/m2/day),Annual Average Minimum (kWh/m2/day),Annual Average Maximum (kWh/m2/day),Annual Average Standard Deviation (kWh/m2/day),Annual Average Median (kWh/m2/day),January Average (kWh/m2/day),January Average Minimum (kWh/m2/day),January Average Maximum (kWh/m2/day),January Average Standard Deviation (kWh/m2/day),January Average Median (kWh/m2/day),February Average (kWh/m2/day),February Average Minimum (kWh/m2/day),February Average Maximum (kWh/m2/day),February Average Standard Deviation (kWh/m2/day),February Average Median (kWh/m2/day),March Average (kWh/m2/day),March Average Minimum (kWh/m2/day),March Average Maximum (kWh/m2/day),March Average Standard Deviation (kWh/m2/day),March Average Median (kWh/m2/day),April Average (kWh/m2/day),April Average Minimum (kWh/m2/day),April Average Maximum (kWh/m2/day),April Average Standard Deviation (kWh/m2/day),April Average Median (kWh/m2/day),May Average (kWh/m2/day),May Average Minimum (kWh/m2/day),May Average Maximum (kWh/m2/day),May Average Standard Deviation (kWh/m2/day),May Average Median (kWh/m2/day),June Average (kWh/m2/day),June Average Minimum (kWh/m2/day),June Average Maximum (kWh/m2/day),June Average Standard Deviation (kWh/m2/day),June Average Median (kWh/m2/day),July Average (kWh/m2/day),July Average Minimum (kWh/m2/day),July Average Maximum (kWh/m2/day),July Average Standard Deviation (kWh/m2/day),July Average Median (kWh/m2/day),August Average (kWh/m2/day),August Average Minimum (kWh/m2/day),August Average Maximum (kWh/m2/day),August Average Standard Deviation (kWh/m2/day),August Average Median (kWh/m2/day),September Average (kWh/m2/day),September Average Minimum (kWh/m2/day),September Average Maximum (kWh/m2/day),September Average Standard Deviation (kWh/m2/day),September Average Median (kWh/m2/day),October Average (kWh/m2/day),October Average Minimum (kWh/m2/day),October Average Maximum (kWh/m2/day),October Average Standard Deviation (kWh/m2/day),October Average Median (kWh/m2/day),November Average (kWh/m2/day),November Average Minimum (kWh/m2/day),November Average Maximum (kWh/m2/day),November Average Standard Deviation (kWh/m2/day),November Average Median (kWh/m2/day),December Average (kWh/m2/day),December Average Minimum (kWh/m2/day),December Average Maximum (kWh/m2/day),December Average Standard Deviation (kWh/m2/day),December Average Median (kWh/m2/day)
Autauga,AL,1001,4.59,4.54,4.65,0.03,4.59,2.74,2.70,2.78,0.02,2.73,3.52,3.48,3.58,0.03,3.52,4.65,4.60,4.70,0.03,4.64,5.59,5.51,5.68,0.05,5.58,6.32,6.23,6.41,0.05,6.33,6.25,6.17,6.33,0.04,6.24,6.10,5.99,6.23,0.07,6.08,5.69,5.61,5.77,0.05,5.69,4.72,4.65,4.78,0.04,4.72,3.94,3.90,3.97,0.02,3.95,3.08,3.02,3.12,0.03,3.08,2.43,2.40,2.49,0.02,2.43
Baldwin,AL,1003,4.74,4.64,4.98,0.09,4.71,2.89,2.79,3.06,0.07,2.88,3.72,3.62,3.89,0.07,3.72,4.87,4.73,5.13,0.11,4.83,5.91,5.76,6.19,0.12,5.87,6.52,6.31,6.97,0.16,6.48,6.30,6.13,6.68,0.15,6.26,5.93,5.68,6.21,0.14,5.90,5.60,5.37,5.85,0.13,5.58,4.83,4.73,5.05,0.09,4.81,4.20,4.09,4.37,0.07,4.18,3.38,3.25,3.54,0.08,3.37,2.67,2.57,2.77,0.05,2.67
Barbour,AL,1005,4.68,4.65,4.72,0.02,4.68,2.85,2.81,2.90,0.02,2.84,3.69,3.64,3.74,0.03,3.70,4.77,4.73,4.80,0.02,4.77,5.80,5.73,5.86,0.04,5.81,6.48,6.42,6.55,0.03,6.47,6.28,6.21,6.34,0.03,6.28,6.09,6.03,6.19,0.04,6.08,5.63,5.58,5.69,0.03,5.62,4.75,4.72,4.80,0.02,4.75,4.01,3.97,4.06,0.02,4.01,3.22,3.18,3.26,0.02,3.21,2.55,2.52,2.59,0.02,2.55
Bibb,AL,1007,4.54,4.50,4.59,0.02,4.55,2.64,2.58,2.71,0.04,2.63,3.40,3.34,3.44,0.03,3.40,4.56,4.51,4.60,0.02,4.56,5.49,5.42,5.57,0.04,5.49,6.24,6.18,6.30,0.03,6.23,6.27,6.15,6.34,0.04,6.27,6.11,6.04,6.17,0.04,6.11,5.72,5.65,5.79,0.04,5.71,4.74,4.66,4.81,0.04,4.72,3.93,3.87,4.00,0.03,3.92,3.01,2.97,3.05,0.02,3.00,2.38,2.33,2.42,0.02,2.39
Blount,AL,1009,4.43,4.40,4.46,0.01,4.43,2.50,2.43,2.54,0.03,2.50,3.23,3.17,3.26,0.02,3.22,4.36,4.28,4.43,0.04,4.37,5.38,5.31,5.44,0.03,5.38,6.04,5.98,6.10,0.03,6.03,6.22,6.13,6.30,0.04,6.21,5.99,5.92,6.05,0.03,5.99,5.73,5.66,5.80,0.03,5.73,4.70,4.64,4.74,0.02,4.71,3.82,3.77,3.85,0.02,3.82,2.90,2.86,2.94,0.02,2.90,2.26,2.22,2.29,0.02,2.25
Bullock,AL,1011,4.66,4.64,4.68,0.01,4.66,2.82,2.78,2.84,0.01,2.83,3.64,3.59,3.69,0.02,3.63,4.74,4.70,4.78,0.02,4.75,5.73,5.68,5.77,0.02,5.74,6.44,6.42,6.47,0.01,6.44,6.30,6.22,6.37,0.04,6.30,6.11,6.01,6.20,0.05,6.09,5.67,5.61,5.77,0.04,5.66,4.75,4.72,4.78,0.02,4.75,3.98,3.93,4.00,0.02,3.98,3.18,3.14,3.21,0.02,3.19,2.53,2.48,2.56,0.02,2.53
Butler,AL,1013,4.66,4.65,4.68,0.01,4.66,2.80,2.78,2.84,0.02,2.80,3.62,3.57,3.70,0.04,3.61,4.76,4.72,4.80,0.02,4.76,5.74,5.70,5.80,0.03,5.74,6.43,6.40,6.45,0.02,6.43,6.27,6.18,6.34,0.03,6.27,6.04,5.97,6.12,0.04,6.05,5.68,5.62,5.74,0.02,5.67,4.76,4.73,4.80,0.02,4.76,4.04,4.01,4.09,0.02,4.05,3.20,3.17,3.23,0.02,3.19,2.55,2.51,2.58,0.02,2.54
Calhoun,AL,1015,4.45,4.42,4.49,0.02,4.46,2.60,2.54,2.66,0.03,2.61,3.29,3.25,3.34,0.03,3.29,4.42,4.37,4.49,0.03,4.41,5.43,5.36,5.49,0.04,5.43,6.07,6.01,6.12,0.02,6.07,6.20,6.16,6.25,0.02,6.20,5.99,5.93,6.06,0.03,5.99,5.68,5.63,5.75,0.03,5.67,4.64,4.57,4.69,0.03,4.64,3.83,3.78,3.87,0.02,3.83,2.94,2.89,2.99,0.02,2.94,2.30,2.25,2.34,0.02,2.30
Chambers,AL,1017,4.56,4.52,4.60,0.02,4.56,2.76,2.72,2.79,0.02,2.76,3.49,3.41,3.56,0.04,3.48,4.57,4.53,4.63,0.03,4.58,5.57,5.51,5.63,0.03,5.56,6.25,6.16,6.35,0.05,6.25,6.25,6.21,6.30,0.02,6.25,6.08,6.01,6.14,0.03,6.08,5.64,5.58,5.69,0.03,5.65,4.65,4.63,4.69,0.02,4.65,3.88,3.86,3.92,0.01,3.88,3.07,3.04,3.11,0.02,3.07,2.43,2.40,2.48,0.02,2.43
Cherokee,AL,1019,4.42,4.35,4.47,0.03,4.42,2.53,2.47,2.59,0.03,2.53,3.22,3.14,3.28,0.03,3.23,4.34,4.24,4.41,0.04,4.34,5.35,5.26,5.40,0.04,5.36,6.05,5.93,6.15,0.05,6.05,6.23,6.16,6.38,0.06,6.22,5.99,5.85,6.13,0.07,6.00,5.67,5.57,5.80,0.05,5.66,4.66,4.57,4.72,0.04,4.66,3.79,3.73,3.82,0.02,3.79,2.87,2.80,2.93,0.04,2.87,2.24,2.20,2.29,0.03,2.24
