County,Population,Registered voters,Democratic,Republican[2],D–R spread,Other,No party preference
Alameda,"1,494,876",0.5460,0.5640,0.1410,0.4230,0.1210,0.1950
Alpine,"1,167",0.6610,0.3760,0.3050,0.0710,0.1080,0.2500
Amador,"38,244",0.5610,0.3170,0.4500,-0.1330,0.1030,0.1720
Butte,"219,309",0.5540,0.3440,0.3710,-0.0270,0.1040,0.2150
Calaveras,"45,794",0.6280,0.3070,0.4250,-0.1180,0.1230,0.1900
Colusa,"21,297",0.3600,0.3440,0.4530,-0.1090,0.0530,0.1730
Contra Costa,"1,037,817",0.5110,0.4960,0.2480,0.2480,0.0670,0.2140
Del Norte,"28,561",0.4290,0.3470,0.3750,-0.0280,0.1200,0.2010
El Dorado,"179,878",0.6130,0.2920,0.4390,-0.1470,0.1040,0.2030
Fresno,"920,623",0.4510,0.4020,0.3820,0.0200,0.0750,0.1680
Glenn,"28,027",0.4380,0.3070,0.4510,-0.1440,0.0910,0.1890
Humboldt,"133,585",0.5970,0.4160,0.2540,0.1620,0.1190,0.2430
Imperial,"171,343",0.3540,0.5040,0.2370,0.2670,0.0620,0.2190
Inyo,"18,457",0.5380,0.3090,0.4300,-0.1210,0.1080,0.1940
Kern,"829,254",0.4010,0.3560,0.4110,-0.0550,0.0780,0.1880
Kings,"152,335",0.3180,0.3580,0.4520,-0.0940,0.0620,0.1540
Lake,"64,392",0.5460,0.4070,0.2750,0.1320,0.1080,0.2500
Lassen,"35,001",0.3980,0.2440,0.4800,-0.2360,0.1220,0.2060
Los Angeles,"9,787,747",0.4970,0.5110,0.2160,0.2950,0.1140,0.1810
Madera,"149,611",0.3590,0.3390,0.4440,-0.1050,0.0750,0.1730
Marin,"250,666",0.6150,0.5440,0.1820,0.3620,0.0670,0.2290
Mariposa,"18,290",0.5800,0.2970,0.4480,-0.1510,0.1230,0.1750
Mendocino,"87,525",0.5600,0.4640,0.2170,0.2470,0.1250,0.2280
Merced,"253,606",0.3900,0.4450,0.3310,0.1140,0.0770,0.1780
Modoc,"9,587",0.5500,0.2590,0.5000,-0.2410,0.1150,0.1770
Mono,"14,016",0.4280,0.3280,0.3610,-0.0330,0.1040,0.2480
Monterey,"411,385",0.4090,0.5170,0.2420,0.2750,0.0620,0.2020
Napa,"135,377",0.5280,0.4640,0.2680,0.1960,0.0850,0.2130
Nevada,"98,392",0.6260,0.3300,0.3790,-0.0490,0.1090,0.2180
Orange,"2,989,948",0.4670,0.3170,0.4180,-0.1010,0.0700,0.2210
Placer,"343,554",0.6060,0.2800,0.4700,-0.1900,0.0650,0.2070
Plumas,"20,192",0.6440,0.3130,0.4250,-0.1120,0.1170,0.1950
Riverside,"2,154,844",0.4330,0.3650,0.4040,-0.0390,0.0780,0.1820
Sacramento,"1,408,480",0.4950,0.4390,0.3190,0.1200,0.0750,0.1960
San Benito,"54,873",0.4860,0.4740,0.2940,0.1800,0.0660,0.1920
San Bernardino,"2,023,452",0.4300,0.3910,0.3540,0.0370,0.0870,0.2040
San Diego,"3,060,849",0.5150,0.3530,0.3390,0.0140,0.0850,0.2560
San Francisco,"797,983",0.6240,0.5560,0.0860,0.4700,0.0640,0.3110
San Joaquin,"680,277",0.4320,0.4370,0.3640,0.0730,0.0660,0.1580
San Luis Obispo,"267,871",0.5840,0.3380,0.3940,-0.0560,0.0860,0.2090
San Mateo,"711,622",0.5070,0.5130,0.1940,0.3190,0.0590,0.2550
Santa Barbara,"419,793",0.4710,0.4140,0.3080,0.1060,0.0780,0.2260
Santa Clara,"1,762,754",0.4640,0.4560,0.2170,0.2390,0.0570,0.2900
Santa Cruz,"259,402",0.6100,0.5420,0.1650,0.3770,0.0880,0.2280
Shasta,"177,231",0.5530,0.2650,0.4670,-0.2020,0.0930,0.2120
Sierra,"3,277",0.6780,0.2840,0.4220,-0.1380,0.1580,0.1920
Siskiyou,"44,687",0.5720,0.3230,0.4090,-0.0860,0.1120,0.2010
Solano,"411,620",0.5110,0.4860,0.2500,0.2360,0.0730,0.2200
Sonoma,"478,551",0.5470,0.5150,0.2160,0.2990,0.0820,0.2130
Stanislaus,"512,469",0.4520,0.4000,0.3880,0.0120,0.0770,0.1620
Sutter,"94,192",0.4430,0.3250,0.4450,-0.1200,0.0880,0.1750
Tehama,"62,985",0.4840,0.3010,0.4440,-0.1430,0.1170,0.1880
Trinity,"13,711",0.5720,0.3350,0.3430,-0.0080,0.1410,0.2290
Tulare,"436,234",0.3320,0.3400,0.4370,-0.0970,0.0800,0.1770
Tuolumne,"55,736",0.5760,0.3210,0.4210,-0.1000,0.1020,0.1960
Ventura,"815,745",0.5290,0.3860,0.3600,0.0260,0.0780,0.2010
Yolo,"198,889",0.5120,0.4720,0.2390,0.2330,0.0800,0.2360
Yuba,"71,817",0.4040,0.3150,0.3930,-0.0780,0.1100,0.2290
